UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Oceania,2020,92351384,24.83,2293084.86,7.47,6.27,4.42,21.58,39.87,16.2,0.516,16584.16,32.12
Latin America and the Caribbean,2020,146177295,24.21,3538952.31,81.7,25.11,85.03,22.22,32.45,2.37,0.605,11904.33,62.06
Oceania,2024,59839366,11.44,684562.35,150,57.48,9.87,37.16,24.4,11.08,0.58,21407.92,71.51
South-Eastern Asia,2022,58127973,21.05,1223593.83,32.81,24.21,40.48,30.49,52.27,7.2,0.637,33607.1,62.37
Northern America,2022,29211351,9.45,276047.27,18.07,9.87,58.93,35.43,51.64,13.23,0.25,47264.82,80.2
Eastern Asia,2021,108346496,15.47,1676120.29,6.08,3.59,69.02,15.3,19.85,19.89,0.145,35309.15,86.18
South-Eastern Asia,2022,128103788,25.25,3234620.65,21.88,9.37,72.44,10.26,28.05,26.33,0.434,22433.9,91.59
Sub-Saharan Africa,2024,104827650,5.25,550345.16,34.11,25.84,72.69,21,50.3,21,0.504,21515.21,42.25
Northern Africa,2024,209528316,16.81,3522170.99,53.48,40.75,33.21,14.4,12.01,23.4,0.066,76703.87,89.14
Oceania,2023,154835297,20.04,3102899.35,37.86,5.3,0.63,32.99,19.46,9.48,0.964,,57.57
Northern America,2020,130015074,16.3,2119245.71,16.2,11.31,95.92,23.92,27.18,15.66,0.259,66771.91,79.99
Sub-Saharan Africa,2022,174723355,17.88,3124053.59,13.83,5.33,17.08,12.56,9.26,6.6,0.207,63703.57,84.06
Europe,2021,130899201,24.59,3218811.35,,17.08,32.69,22.12,20.28,25.72,0.622,14383.11,85.76
Europe,2023,1796903,9.79,17591.68,71.76,54.19,45.25,13.84,25.96,15.82,0.306,53789.05,75.12
Northern America,2020,66906464,12.85,859748.06,65.47,27.13,97.04,21.41,30.65,1.66,0.311,3841.41,71.72
Europe,2022,68310804,14.88,1016464.76,74.11,35.41,13.62,11.6,58.97,27.06,0.316,67425.97,
Central Asia,2023,197489145,11.42,2255326.04,62.86,51.4,93.12,25.07,44.65,12.68,0.084,58000.65,32.29
Sub-Saharan Africa,2022,53460054,15.61,834511.44,59.49,5.57,7.5,28.51,35.41,28.51,0.443,44208.63,16.25
Central Asia,2020,135964785,27.45,3732233.35,,20.5,21.62,37.35,14.29,33.72,0.685,52906.55,32.78
Southern Asia,2020,112060348,27.55,3087262.59,44.98,26.45,91.53,26.42,14.29,6.95,0.943,,66.96
Europe ,2023,31333702,-16.19,507292.64,81.32,14.24,48.36,28.49,49.79,26.91,0.848,65844.33,18.23
Sub-Saharan Africa,2022,1885258,13.06,24621.47,55.15,37.2,89.84,31.83,49.38,34.98,0.853,57186.38,90.35
Latin America and the Caribbean,2023,34214058,8.36,286029.52,63.31,14.28,47.32,12.47,49.67,16.83,0.678,37988.86,29.3
South-Eastern Asia,2021,229472873,5.39,1236858.79,78.9,77.38,74.29,15.78,28.64,21.72,0.4,11153.48,78.66
South-Eastern Asia,2024,42749469,7.5,320621.02,16.27,6.74,42.04,26.26,20.5,27.03,0.366,10547.36,34.3
Central Asia,2020,64507796,24.54,1583021.31,150,9.37,31.26,24.69,20.2,29.98,0.938,540.4,90.44
Central Asia,2023,116268155,26.72,3106685.1,35.23,33.28,66.58,29.25,63.77,33.84,0.455,54800.99,83.78
Europe,2020,45316425,2.74,124167,65.85,15.73,79.04,18.8,27.95,13.36,0.536,10632.35,20.76
Northern Africa,2021,42660032,14.21,606199.05,33.3,14.23,49.13,26.01,7.05,0.77,0.771,21923.85,24.97
Northern Africa,2023,29276204,27.77,813000.19,21.13,13.77,47.84,18.37,24.18,22.21,0.883,73462.32,89.93
Northern Africa,2022,57247356,29.87,1709978.52,45.67,43.52,76.06,32.61,54.15,10.37,0.449,31540.94,22.28
Northern America,2020,91659427,18.26,1673701.14,66.57,30.02,23.76,16.21,54.74,13.59,0.53,4325.07,40.48
South-Eastern Asia,2023,91970523,21.45,1972767.72,38.44,30.19,47.91,20.9,48.61,7.38,0.992,40869.65,69.73
Europe,2024,85158548,8.06,686377.9,40.41,35.5,82.5,23.31,59.04,5.09,0.751,33307.76,41.17
Eastern Asia,2021,85020728,20.39,1733572.64,13.26,11.51,34.56,17.62,24.3,2.68,0.797,49038.43,44.59
Sub-Saharan Africa,2022,107199003,25.42,2724998.66,77.22,64.34,97.27,11.31,63.4,15.38,0.164,18854.86,73.96
Northern America,2023,43843036,25.56,1120628,7.37,5.72,59.31,19.23,14.54,34.13,0.034,65828.11,79.31
Sub-Saharan Africa,2020,135748302,13.05,1771515.34,83.45,24.24,81.54,31.43,34.14,17.68,0.659,unknown,67.26
Northern America,2022,189004372,6.14,1160486.84,27.99,6.39,12.25,25.73,54.63,25.01,0.034,58257.36,62.81
Northern Africa,2024,161497548,21.07,3402753.34,49.58,4.01,10.5,12.12,30.88,11.44,0.112,39376.18,90.16
Sub Saharan Africa,2023,104560879,19.27,2014888.14,72.14,69.52,24.39,17.33,66.21,15.81,0.609,9320.82,17.59
Northern America,2020,135860730,18.73,2544671.47,31.57,12.61,84.58,17.4,56.25,31.21,0.149,33084.18,38.35
Northern Africa,2024,62411574,10.57,659690.34,42.5,31.72,48.88,15.05,57.25,31.61,0.669,12061.79,18.59
Northern America,2020,219827807,25.8,5671557.42,74.16,73.68,59.93,20.34,25.37,31.92,0.08,24985.67,78.01
Eastern Asia,2022,160054863,14.28,2285583.44,81.08,24.16,41.07,21.87,63.2,9.4,0.868,78762.72,
Northern America,2021,145029579,26.21,3801225.27,80.43,77.5,42.61,13.91,37.89,6.49,0.416,10235.78,58.12
Southern Asia,2024,213495770,10.22,2181926.77,25.84,15.17,77.53,13.43,8.43,26.66,0.241,15132.56,21.44
Eastern Asia,2020,191602125,21.26,4073461.18,32.73,24.73,27.92,36.5,14.03,15.82,0.052,24423.39,54.97
Sub-Saharan Africa,2024,161350103,7.57,1221420.28,55.8,29.38,83.88,27.97,37.91,2.06,0.523,17273.15,20.24
Latin America and the Caribbean,2023,5437755,22,119630.61,83.56,8.52,61.06,12.54,48.72,1.62,0.837,43677.54,56.95
Eastern Asia,2024,186594354,9.29,1733461.55,7.03,6.02,84.45,33.65,67.14,10.87,0.353,55862.24,26.67
Western Asia,2024,112732687,16.11,1816123.59,20.76,4.33,21.27,20.62,37.77,18.04,0.16,38782.57,24.92
Sub-Saharan Africa,2023,193289932,6.68,1291176.75,67.5,57.46,2.75,31.21,69.73,16.2,0.717,3397.79,23.18
Eastern Asia,2024,96044290,19.41,1864219.67,75.47,67.5,22.62,22.54,15.6,14.16,0.892,22833.36,21.87
Southern Asia,2021,15607610,27.86,434828.01,5.71,5,96.41,18.29,56.6,16.94,0.178,38585.04,32.32
Central Asia,2020,35649092,18.19,648456.98,67.64,63.91,88.29,13.42,57.79,24.55,0.841,61960.88,18.25
South-Eastern Asia,2024,147952838,29.05,4298029.94,16.35,10,18.88,35.09,47.3,23.44,0.797,68340.41,21.06
Northern Africa,2021,207077707,17.39,3601081.32,26.58,20.53,83.53,32.25,37.56,8.66,0.188,26124.96,57.05
Northern America,2024,7540239,23.13,174405.73,150,10.08,2.56,35.07,28.46,0.29,0.55,36554.46,91.74
Europe,2024,154076493,29,4468218.3,42.12,33.1,23.59,20.67,30.14,4.69,0.618,73364.15,67
Southern Asia,2021,28316636,8.03,227382.59,50.39,10.12,82.65,15,50.41,1.15,0.837,30463.76,60.09
Southern Asia,2022,228595729,26.21,5991494.06,26.81,15.31,20.3,19.72,53.72,31.22,0.676,59733.17,76.61
Sub Saharan Africa,2022,222288255,14.6,3245408.52,60.35,3.62,76.44,36.87,40.24,20.76,0.454,18516.63,84.77
Latin America and the Caribbean,2024,12987892,22.42,291188.54,39,29.27,35.88,24.63,33.89,21.24,0.543,,19.67
Europe,2023,42927766,14.18,608715.72,62.29,61.1,64.84,32.55,47.14,24.07,0.549,67663.72,24.11
Western Asia,2024,122235609,23.29,2846867.33,24.58,7.47,81.49,10.7,24.95,28.79,0.918,61210.38,78.08
Western Asia,2021,74206236,19.2,1424759.73,78.82,35.23,64.14,38.25,33.39,12.61,0.645,19607.95,82.44
Europe,2020,186182241,25.51,4749508.97,,3.57,4.54,13.23,67.19,17.72,0.501,53295.7,38.68
Central Asia,2023,105698680,4.31,455561.31,83.97,72.73,83.87,34.02,32.18,27.44,0.816,2102.06,97.25
South-Eastern Asia,2023,150199829,23.17,3480130.04,79.79,40.19,10.58,18.45,7.96,14.94,0.935,41636.6,97.4
South-Eastern Asia,2024,205002865,4.18,856911.98,28.76,7.07,60.43,36.82,54.83,18.2,0.881,42838.44,51.75
Europe ,2024,228409297,19.43,4437992.64,72.69,51.07,29.38,37.32,59.1,31.05,0.106,2201.13,30.88
Southern Asia,2020,83322079,3.93,327455.77,62.41,31.15,14.69,32.54,11.48,25.57,0.08,74551.01,31.33
Southern Asia,2024,1882429,29.04,54665.74,41.67,23.92,8.75,32.67,22.79,19.56,0.374,75961.29,48.61
Sub-Saharan Africa,2021,24667560,20.83,513825.27,39.52,13.07,99.67,25.69,11.27,3.17,0.714,,
Oceania,2022,100029261,20.08,2008587.56,26.19,17.23,55.18,13.45,30.43,29.55,0.699,9627.16,94.81
Latin America and the Caribbean,2024,20418711,3.2,65339.88,73.85,10.86,97.65,28.46,60.62,12.75,0.343,69658.63,49.55
Central Asia,2020,243370321,27.1,6595335.7,36.35,21.7,91.9,36.68,58.09,20.03,0.654,52147.14,23.95
Western Asia,2020,37957333,21.19,804315.89,33.58,29.39,40.17,27.89,54.64,6.49,0.089,,46.16
Latin America and the Caribbean,2022,103200558,25.42,2623358.18,150,3.08,62.29,24.29,53.11,15.12,0.387,35420.5,48.68
Northern Africa,2021,151870095,-28.09,4266030.97,58.56,47.71,19.78,12.33,56.72,22.93,0.825,,63.14
Europe,2020,146650609,21.52,3155921.11,75.06,11.22,51.45,21.62,66.68,23.74,0.096,6540.9,76.37
South-Eastern Asia,2020,65661499,6.57,431396.05,34.83,28.27,58.78,31.7,49.86,22.32,0.888,10536.16,79.24
Latin America and the Caribbean,2023,148059280,-16.77,2482954.13,84.2,77.12,13.19,36.73,58.49,9.54,0.335,78601.48,
Sub-Saharan Africa,2024,143981646,12.1,1742177.92,43.08,39.33,15.56,21.57,5.12,25.77,0.979,4199.25,34.96
Europe,2022,72401486,26.74,1936015.74,5.14,4.21,14.82,19.1,57.1,16.96,0.165,77423.45,52.63
Western Asia,2022,202104028,20.83,4209826.9,37.26,13.23,84.16,14.06,37.21,17.58,0.397,13567.73,59.46
Northern America,2020,30403990,12.18,370320.6,73.67,38.56,51.04,27.4,65.37,15.95,0.928,10077.23,75.86
Northern America,2021,72858445,24.11,1756617.11,150,5.36,1.31,22.65,20.59,8.28,0.046,77776.41,24.83
Southern Asia,2021,202091913,15.97,3227407.85,57.9,55.89,9.26,24.33,68.81,9.94,0.455,43265.81,
Sub-Saharan Africa,2021,8899789,13.86,123351.08,23.5,11.03,26.08,18.09,28.17,28.2,0.56,77200.82,49.13
Eastern Asia,2023,124089716,23.62,2930999.09,,13.72,54.32,32.9,34.09,31.47,0.529,46023.76,67.06
South-Eastern Asia,2021,99537337,5.8,577316.55,67.4,29.67,17.31,23.34,22.86,28.34,0.746,41131.27,47.31
Eastern Asia,2021,101985709,19,1937728.47,9.72,8.32,32.72,18.25,37.5,25.48,0.026,56871.94,50.1
Northern America,2020,172359687,19.98,3443746.55,30.5,14.42,32.84,24.42,10.4,1.36,0.177,17422.54,39.94
Latin America and the Caribbean,2020,107064305,18.25,1953923.57,36.33,8.2,40.24,26,64.75,34,0.009,,54.82
South-Eastern Asia,2024,176334812,10.73,1892072.53,40.45,30.58,7.27,11.23,29.06,22.15,0.556,58876.42,15.53
Eastern Asia,2021,26187668,5.94,155554.75,20.75,7.27,36.24,37.89,38.81,25.41,0.258,,23.08
Latin America and the Caribbean,2020,61292679,22.51,1379698.2,17.28,11.19,67.14,27.72,68.15,31.23,0.442,9604.63,33.29
Sub-Saharan Africa,2022,55919065,-27.94,1562378.68,22.5,22.15,83.38,15.03,8.57,28.44,0.418,23495.44,60.08
Latin America and the Caribbean,2020,96772871,27.03,2615770.7,31.59,18.45,99.64,29.54,55.19,25.5,0.718,26846.74,28.22
Sub-Saharan Africa,2022,106014714,3.05,323344.88,70.12,65.91,22.39,27.92,53.27,14.02,0.204,23069.24,87.29
Sub-Saharan Africa,2023,227182631,28.13,6390647.41,,34.83,21.6,39.06,20.7,26.15,0.851,10851.54,22.98
Northern Africa,2023,241726261,11.37,2748427.59,31.03,23.77,31.78,14.33,12.81,21.47,0.319,32455.16,
Western Asia,2020,144196937,27.47,3961089.86,72.52,18.84,72.49,24.74,10.89,22.92,0.311,59538.59,64.3
Sub-Saharan Africa,2021,209851165,29.91,6276648.35,150,45.8,26.45,15.29,21.07,18.61,0.193,17360.26,89.69
Oceania,2021,35417017,15.66,554630.49,6.73,3.21,38.97,33.15,16.6,3.73,0.169,8452.51,94.28
Europe ,2021,42006641,21.47,901882.58,150,7.89,51.26,24.2,58.38,8.31,0.192,68485.93,90.52
Northern America,2024,47982738,3.75,179935.27,79.08,28.24,87.53,37.92,52.08,17.67,0.851,27407.42,43.01
Oceania,2021,74254696,5.69,422509.22,36.14,21.6,78.08,38.97,24.99,33.85,0.841,78840.25,43.91
Western Asia,2020,242483178,20.63,5002427.96,5.93,4.77,74.37,23.49,9.01,2.85,0.224,25497.06,17.87
Sub-Saharan Africa,2022,140476551,19.62,2756149.93,63.44,9.89,41.46,21.68,63.54,2.48,0.739,44298.45,63.15
Central Asia,2022,137606948,26.83,3691994.41,72.73,62.19,25.55,32.35,37.85,22.47,0.22,73399.4,59.14
Northern Africa,2023,214599425,10.98,2356301.69,47.46,28.56,64.5,34.86,34.01,4.99,0.161,46996.4,47.29
Latin America and the Caribbean,2022,101408835,21.62,2192459.01,17.01,6.76,6.03,20.64,56.35,12.37,0.051,59658.37,60.58
Northern America,2020,77359331,15.55,1202937.6,12.73,7.36,43.91,21.1,28.38,12.38,0.491,33156.92,75.9
Oceania,2024,21683281,12.21,264752.86,57.41,36.5,32.58,34.53,25.53,17.54,0.33,56623.4,28.34
Europe,2023,153519168,7.57,1162140.1,12.95,4.82,90.55,15.03,30.01,0.19,0.922,15877.75,20.65
Oceania,2022,110712449,14.68,1625258.75,83.05,30.76,47.61,31.57,32.91,21.32,0.52,69018.61,94.72
Europe ,2020,132382876,18.38,2433197.26,31.64,23.88,96.44,22.09,10.77,3.59,0.376,7013.97,56.38
Sub Saharan Africa,2023,35180726,12.54,441166.3,60.75,46.7,16.89,15.95,10.07,28.07,0.215,73148.61,19.72
South-Eastern Asia,2021,226018634,18.09,4088677.09,31.38,29.29,98.99,35.14,40.07,26.38,0.546,48586.85,20.62
Central Asia,2020,92360663,15.38,1420507,83.69,73.03,29.07,33.74,35.7,9.98,0.675,12839.16,
Europe ,2021,75202140,7.27,546719.56,8.08,7.89,6.64,16.52,52.94,24.45,0.17,50448.82,73.82
Central Asia,2021,128260382,8.21,1053017.74,74.96,52.11,36.6,34.01,20.25,13.41,0.826,76931.2,51.84
Western Asia,2021,231517382,10.05,2326749.69,40.53,11.11,22.56,13.83,67.77,30.74,0.987,72001.99,36.44
Sub-Saharan Africa,2022,85722947,27.65,2370239.48,84.16,76.78,56.61,32.1,21.58,33.41,0.062,78170.84,74.95
Oceania,2023,67184517,4.24,284862.35,21.78,18.38,23.16,32.42,22.59,13.17,0.307,14230.38,69.01
Europe,2023,217946053,19.83,4321870.23,40.97,14.73,46.83,29.07,54,13.14,0.807,43075.04,83.97
Sub-Saharan Africa,2023,89188878,8.36,745619.02,31.41,17.36,22.22,27.89,23.31,27.17,0.332,25793,45.14
Oceania,2024,25732198,17.58,452372.04,35.88,7.36,84.61,12.5,22.3,9.56,0.279,19392.9,70
Central Asia,2020,9244548,4.31,39844,7.59,6.13,90,16.46,40.37,10.64,0.556,1292.77,41.29
Northern Africa,2020,74650758,17.73,1323557.94,62.4,20.57,44.6,15.58,39.38,9.97,0.301,66999.84,32.73
Northern America,2023,51628511,-6.49,335069.04,79.81,55.41,80.27,23.66,29.08,30.45,0.266,47144.51,
Latin America and the Caribbean,2022,2576474,13.22,34060.99,32.75,15.85,21.55,17.61,17.54,30.58,0.753,64483.85,20.53
Latin America and the Caribbean,2024,139356322,13.96,1945414.26,37.08,19.62,94.69,31.76,38.91,16.85,0.191,55540.3,61.07
Northern America,2020,17402774,17.34,301764.1,33.64,9.17,90.09,17.5,10.99,3.35,0.931,1759.4,44.56
Eastern Asia,2022,188974558,18.48,3492249.83,6.34,6.18,28.17,32.19,61.43,5.64,0.094,24737.59,68.93
Sub-Saharan Africa,2021,188985499,4.22,797518.81,62.11,20.64,38.66,14.67,15.77,31.79,0.624,25643.53,20.51
Central Asia,2023,229048813,21.23,4862706.3,13.13,11.08,98.35,21.37,16.81,33.03,0.134,52238.85,41.37
Western Asia,2020,104408365,22.23,2320997.95,36.59,26.44,32.86,31.34,9.56,33.01,0.872,49545.07,28.73
Southern Asia,2022,18742780,21.38,400720.64,12.93,4.81,94.95,20.25,31.89,26.5,0.474,38899.3,32.13
Northern Africa,2021,59079628,16.31,963588.73,40.27,3.43,36.16,20.42,28.22,18.56,0.807,78079.86,91.92
Sub-Saharan Africa,2022,227179458,8.08,1835610.02,,31.98,48.67,27.89,66.13,29.22,0.354,37068.49,40.89
Southern Asia,2020,210382812,20.64,4342301.24,76.34,14.99,21.04,24.67,6.34,27.43,0.194,68281.19,17.98
Southern Asia,2023,84954680,26.31,2235157.63,10.21,8.38,52.53,38.94,66.13,22.13,0.619,48515.19,74.1
Southern Asia,2020,73090609,2.34,171032.03,83.16,49.58,78.76,16.61,23.3,10.47,0.431,73641.1,38.2
Eastern Asia,2022,93149715,12.76,1188590.36,10.21,4.56,85.77,33.64,45.91,10.34,0.87,79261.17,17.22
Central Asia,2024,83821002,3.54,296726.35,19.9,12.48,68.71,26.81,37.3,28.39,0.798,29439.01,81.98
Northern Africa,2024,186369494,15.76,2937183.23,45.41,21.77,7.79,14.88,64.4,17.89,0.65,,87.37
Latin America and the Caribbean,2022,26235761,12.38,324798.72,,13.16,77.65,37.19,11.5,33.73,0.666,14129.53,93.31
Europe,2020,226477112,9.21,2085854.2,27.65,5.06,53.55,12.42,46.04,2.54,0.993,45709.1,59.94
Central Asia,2022,195070150,9.28,1810250.99,5.41,5.18,36.19,35.91,19.39,0.2,0.599,62841.09,94.24
Europe,2021,7765533,19.43,150884.31,72.75,51.44,65.06,37.06,40.23,15.69,0.345,37851.43,80.06
Europe,2023,33121619,8.44,279546.46,63.01,42.43,20.72,31.84,28.52,7.07,0.584,38952.25,84.49
Southern Asia,2021,73314774,9.95,729482,23.41,7.02,70.08,11.42,7.27,20.96,0.504,,50.62
Northern Africa,2022,95443917,16.24,1550009.21,45.96,27.28,23.9,20.46,22.39,2.04,0.356,73990.47,86.19
Northern America,2022,145743488,9.45,1377275.96,80.82,73.55,69.07,18.28,15.61,4.92,0.024,27750.45,89.37
Latin America and the Caribbean,2021,150819026,15.62,2355793.19,44.43,16.17,20.89,28.43,31.76,8.18,0.171,13843.45,64.94
Northern Africa,2020,203272721,6.12,1244029.05,77.5,72.01,24.98,38.66,35.83,13.56,0.85,64046.3,56.72
Oceania,2021,115755023,14.02,1622885.42,37.19,28.52,3.87,13.8,15.96,16.84,0.651,44261.8,28.28
Europe,2024,52808418,22.35,1180268.14,37,28.93,10.45,18.21,34.04,17.69,0.157,45325.85,44.66
Northern Africa,2021,24667746,6.33,156146.83,14.65,9.5,83.14,29.31,45.87,19.55,0.228,19563.31,91.04
Europe,2022,154449798,25.04,3867422.94,24.22,9.82,61.91,35.86,62.39,17.88,0.463,49533.85,71.15
Latin America and the Caribbean,2020,174857423,6.27,1096356.04,150,14.47,72.18,39.68,61.5,33.89,0.379,59096.58,17.15
Southern Asia,2021,19628529,24.46,480113.82,5.51,3.93,37.72,13.13,31.13,17.93,0.015,22979.9,46.36
Oceania,2023,165844288,25.69,4260539.76,27.99,11.71,68.46,10.59,27.55,14.05,0.415,59424.62,73.53
Northern Africa,2021,75502080,18.32,1383198.11,71.41,56.39,50.46,25.05,21.4,12.3,0.462,36277.55,
Southern Asia,2020,241104104,-14.8,3568340.74,84.29,59.35,31.61,39.75,39.5,21.12,0.136,unknown,19.7
Southern Asia,2024,169200294,22.09,3737634.49,70.54,34.9,78.62,16.31,13.06,19.33,0.96,34650.24,43.48
Western Asia,2020,41261940,9.73,401478.68,37.46,8.56,81.7,23.45,42.1,9.75,0.941,58305.97,
Latin America and the Caribbean,2021,96466021,29.63,2858288.2,12.42,8.89,16.33,36.35,69.23,11.31,0.297,11371.08,23.3
Latin America and the Caribbean,2023,36130682,11.04,398882.73,45.12,42.04,44.73,16.41,14.75,5.75,0.134,56598.58,78.71
Western Asia,2024,140113797,2.65,371301.56,65.5,43.95,42.67,33.08,54.01,31.96,0.049,,18.54
Eastern Asia,2021,133199185,19.74,2629351.91,75.5,31.82,96.25,17.71,55.33,0.11,0.563,61425.23,87.94
Southern Asia,2020,151096081,16.68,2520282.63,54.18,43.69,76.71,38.63,49.21,11,0.395,28445.77,65.07
Western Asia,2021,37932284,9.65,366046.54,51.53,19.87,44.71,36.78,51.74,33.47,0.281,75559.2,63.85
Western Asia,2021,195208039,12.08,2358113.11,18.05,3.04,53.63,26.96,23.83,4.14,0.526,58420.57,38.65
Sub-Saharan Africa,2023,88018490,19.68,1732203.88,21.59,15.53,63.32,34.86,21.02,7.77,0.116,54135.57,87.22
Europe,2023,171492757,12.3,2109360.91,75.95,58.09,90.02,25.97,20.46,3.74,0.356,49050.1,82.96
Northern America,2020,117712677,25.72,3027570.05,23.04,10.34,52.77,10.5,21.62,22.58,0.985,29102.34,26.52
Eastern Asia,2024,215312187,2.42,521055.49,71.96,26.7,93.98,23.5,62.53,12.11,0.682,57159.58,33.23
Sub-Saharan Africa,2022,155787161,3.45,537465.71,80.58,5.84,20.82,31.49,11.59,32.56,0.422,79908.42,21.28
Central Asia,2022,205141300,8.89,1823706.16,66.6,26.92,36.52,29.51,52.46,8.71,0.906,53958.42,40.82
Northern Africa,2024,191446075,20.01,3830835.96,53.79,39.65,77.68,21.55,51.15,26.12,0.233,1549.27,51.66
Oceania,2023,22014111,16.75,368736.36,150,5.99,67.64,16.45,66.13,12.59,0.133,39825.77,23.15
Western Asia,2024,67246529,19.76,1328791.41,43.38,23.41,78.99,25.74,13.87,6.41,0.683,32147.67,56.25
Northern America,2023,243505826,14.74,3589275.88,150,6.14,78.13,35.45,41.17,18.68,0.245,57891.35,57.52
South-Eastern Asia,2021,28906548,14.9,430707.57,15.66,3.35,46.78,29.27,16.54,23.22,0.682,32233.62,24.09
South-Eastern Asia,2024,76945408,10.04,772531.9,79.5,75.62,85.92,18.29,56.79,22.81,0.014,unknown,69.65
Latin America and the Caribbean,2024,190154249,23.71,4508557.24,63.78,28.33,29.45,31.12,18.39,17.11,0.969,60413.07,95.6
Oceania,2021,230157472,9.14,2103639.29,21.23,12.86,63.15,39.4,35.44,21.14,0.107,43211.22,50.37
Europe,2024,168127876,7.36,1237421.17,28.41,9.6,10.11,18.15,50.9,19.72,0.114,75682.81,17.83
Northern America,2023,37972864,5.99,227457.46,23.45,19.13,24.96,14.03,30.53,16.85,0.872,44993.19,91.83
Sub Saharan Africa,2020,163037903,15.76,2569477.35,37.71,7.07,73.13,30.34,13.44,30.18,0.814,56752.91,69.3
Central Asia,2023,230645497,22.25,5131862.31,15.48,3.44,59.5,38.5,66.5,22.27,0.789,9129.56,79.31
Southern Asia,2024,49988267,17.16,857798.66,45.8,3.98,99.4,17.47,26.2,23.42,0.979,74831.11,61.07
Eastern Asia,2022,31074366,15.97,496257.63,21.8,4.08,11.88,30.22,11.01,8.31,0.152,47019.68,56.46
South-Eastern Asia,2022,18604591,7.29,135627.47,10.15,6.27,28.51,30.26,44.18,3.14,0.511,36202.14,58.21
Latin America and the Caribbean,2024,91437932,17.1,1563588.64,25.98,4.86,32.83,38.28,29.54,25.21,0.805,26853.74,74.87
Northern America,2023,216460391,10.89,2357253.66,39.45,6.74,33.51,39.2,58.53,28.4,0.909,66411.49,44.9
Eastern Asia,2020,145135223,16.6,2409244.7,74.44,34.81,33.67,39.67,39.3,34,0.167,69373.38,50.92
Northern America,2022,20778923,28.79,598225.19,26.6,11.5,46.16,27.66,52.32,2.12,0.859,33890.06,55.83
Central Asia,2024,34737654,11.44,397398.76,64.49,5,37.24,28.83,48.73,24.48,0.628,31972.37,75.06
Central Asia,2024,66894362,5.06,338485.47,49.99,9.08,14.47,28.99,28.08,3.49,0.898,,69.16
Europe ,2024,194388351,5.57,1082743.12,39.65,36.57,46.67,30.6,50.59,13.2,0.843,23734.27,39.79
Oceania,2023,51261654,6.72,344478.31,12.35,8.94,39.19,14.31,37.15,11.07,0.988,42406.02,43.2
South-Eastern Asia,2023,27575578,29.25,806585.66,38.51,8.02,56.99,35.72,27.3,10.98,0.915,29762.5,79.91
Western Asia,2023,100679506,9.68,974577.62,78.1,30.17,40.66,10.03,14.82,27.84,0.596,6546.88,35.83
Sub Saharan Africa,2022,235886846,6.06,1429474.29,31.78,22.5,7.03,32.57,40.71,27.17,0.229,18259.52,66.56
Europe,2023,62142231,19.55,1214880.62,59.22,34.07,58.9,13.01,65.68,19.73,0.056,21553.18,35.91
Western Asia,2022,34236255,12.88,440962.96,16.14,11.24,42.82,10.46,39.85,17.74,0.007,32656.2,62.49
Southern Asia,2024,163563235,5.74,938852.97,31.97,25.33,63.85,29.27,25.17,20.05,0.129,73253,63.87
South-Eastern Asia,2023,239866803,21.01,5039601.53,75.7,34.36,85.22,19.91,9.92,20.52,0.539,72421.54,59.8
Northern Africa,2020,94915117,11.34,1076337.43,20.34,19.77,41.7,15.02,31.35,31.17,0.422,17830.34,23.25
Northern America,2023,218649956,8.97,1961290.11,23.5,8.7,79.82,12.65,17.05,29.41,0.279,77298.39,95.93
Oceania,2022,145185282,20.01,2905157.49,8.89,7.62,87.8,10.4,15.24,11.13,0.092,62774.63,22.78
Southern Asia,2020,163889503,18.58,3045066.97,53.6,51.26,17.45,27.95,13.87,15.91,0.886,71347.97,43.97
Eastern Asia,2023,2574931,22.99,59197.66,25.43,6.01,57.75,34.64,47.39,12.41,0.279,73792.87,59.99
Eastern Asia,2022,182074697,10.26,1868086.39,82.81,42.38,17.07,10.59,68.53,20.74,0.772,48485.05,47.39
South-Eastern Asia,2023,7435336,11.85,88108.73,76.76,29.04,2.25,27.15,56.83,12.95,0.306,28100.3,33.14
Sub-Saharan Africa,2024,245327268,28.71,7043345.86,73.14,41.92,63.76,33.46,68.1,7.65,0.583,,28.26
Sub-Saharan Africa,2021,80499176,11.71,942645.35,19.38,7.44,62.67,36.13,15.23,32.5,0.656,2373.1,73.2
South-Eastern Asia,2020,157223724,5.24,823852.31,23.72,3.66,39.83,16.28,23.06,25.03,0.38,19990.8,62.49
Central Asia,2024,15621851,29.75,464750.07,44.43,21,35.62,25.06,34.96,24.67,0.409,32897.67,38.65
Southern Asia,2021,39897367,23.06,920033.28,74.05,19.75,82.68,12.56,27.8,30.13,0.039,9507.75,80.23
Europe,2023,236914849,9.51,2253060.21,,6.57,55.59,11.37,39.59,16.3,0.299,55629.51,
South-Eastern Asia,2024,74589135,18.28,1363489.39,26.35,19.1,14.96,39.12,40.39,23.69,0.735,26623.04,37.97
South-Eastern Asia,2022,108073490,23.46,2535404.08,39.05,21.79,93.96,12.08,30.37,19.37,0.636,36273.35,44.81
